sigla_sistema,sigla_tickets,regional,supervisor,local,email,direccion,ciudad,provincia,tipo_local,razon_social,tecnico,email_regional,email_supervisor
FSJU,FCSJ3,Hernán Dalto,Micaela Pardo,San Justo,sanjusto3@mostazaweb.com.ar,Arieta 3150,SAN JUSTO,BUENOS AIRES,A la calle,PUESTO RICO S.A.,Fernando Soria,mmedina@mostazaweb.com.ar,mpardo@mostazaweb.com.ar
FLF2,FLF2,Hernán Dalto,Micaela Pardo,Laferrere 2,laferrere2@mostazaweb.com.ar,Av. Luro 5917,LAFERRERE,BUENOS AIRES,A la calle,MAZZBA S.A,Fernando Soria,mmedina@mostazaweb.com.ar,mpardo@mostazaweb.com.ar
FMRAM,FMRAM,Hernán Dalto,Micaela Pardo,Ramos,ramosejia@mostazaweb.com.ar,BELGRANO 86,RAMOS MEJIA,BUENOS AIRES,,NORAND SAS,Fernando Soria,mmedina@mostazaweb.com.ar,mpardo@mostazaweb.com.ar
FLOZ,FMLOA,Hernán Dalto,Micaela Pardo,Lomas Auto,lomas2@mostazaweb.com.ar,Hipolito Yrigoyen 3916,Lomas Oeste,BUENOS AIRES,A la calle,LOMAS BURGER POINT SA,Anabella Guerrero,hdalto@mostazaweb.com.ar,bmoreno@mostazaweb.com.ar
FMLCA,FMLCA,Hernán Dalto,Micaela Pardo,Lomas,,Fonrouge 111 piso 7 dpto 6,Lomas de Zamora,BUENOS AIRES,,LOMAS BURGER POINT SA,Anabella Guerrero,hdalto@mostazaweb.com.ar,bmoreno@mostazaweb.com.ar
FLA2,FMLAC,Hernán Dalto,Micaela Pardo,Lanús 2,lanus2@mostazaweb.com.ar,9 de julio 1476,Lanus este,BUENOS AIRES,A la calle,MUSTARD S.R.L,Anabella Guerrero,criccaddona@mostazaweb.com.ar,acrespin@mostazaweb.com.ar
FMGD,FMGRA,Hernán Dalto,Micaela Pardo,Montegrande,montegrande@mostazaweb.com.ar,Leandro Alem 401,Monte Grande,BUENOS AIRES,A la calle,DECHUNES S.R.L,Anabella Guerrero,mmedina@mostazaweb.com.ar,mpardo@mostazaweb.com.ar
FEZE,FEZEA,Hernán Dalto,Micaela Pardo,Ezeiza,ezeiza@mostazaweb.com.ar,Conquista del Desierto 322,Ezeiza,BUENOS AIRES,A la calle,AGOSBIAN S.R.L,Anabella Guerrero,mmedina@mostazaweb.com.ar,mpardo@mostazaweb.com.ar
FMCAN,FMCAN,Hernán Dalto,Micaela Pardo,Canning,canning@mostazaweb.com.ar,interseccion ruta 58 y Ruta 16,CANNING,BUENOS AIRES,Auto Mostaza,FGC FUELS MARKETING S.A,Anabella Guerrero,mmedina@mostazaweb.com.ar,mpardo@mostazaweb.com.ar
FSJN,FSJUA,Hernán Dalto,Micaela Pardo,San Juan,sanjuan@mostazaweb.com.ar,Tucumán Sur 101,San Juan Capital,SAN JUAN,A la calle / Peatonal,ALIMENTOS DEL OESTE S.R.L,Fernando Soria,mmedina@mostazaweb.com.ar,pmartinez@mostazaweb.com.ar
FSJ2,FMSJ2,Hernán Dalto,Micaela Pardo,San Juan 2,sanjuan2@mostazaweb.com.ar,Av. Libertador Gral. San Martín 1710,San Juan Capital,SAN JUAN,Auto Mostaza,ALIMENTOS DEL OESTE S.R.L,Fernando Soria,mmedina@mostazaweb.com.ar,pmartinez@mostazaweb.com.ar
FLPA,FROSA,Hernán Dalto,Micaela Pardo,La Pampa,santarosa@mostazaweb.com.ar,AV SAN MARTIN 125,SANTA ROSA,LA PAMPA,A la calle,CALDENIA GASTRONOMICA S.R.L.,Tomás Vera,criccaddona@mostazaweb.com.ar,acrespin@mostazaweb.com.ar
FMP1,FMDQG,Hernán Dalto,Mayra Illuminati,Gallegos,losgallegos@mostazaweb.com.ar,BELGRANO 3050,MAR DEL PLATA,BUENOS AIRES,Shopping,FERNANDEZ NATALIA Y DE ZUBIZARRETA FERNANDO S.H.,Fernando Soria,criccaddona@mostazaweb.com.ar,milluminati@mostazaweb.com.ar
